abandon,アバンドン
appreciate,アプリシェイト
approach,アプローチ
appropriate,アプロプリエイト
approval,アプルーヴァル
approve,アプルーブ
approximately,アプロクシメイトリ
arab,アラブ
architect,アーキテクト
area,エリア
argue,アーギュー
argument,アーギュメント
arise,アライズ
arm,アーム
armed,アームド
army,アーミー
around,アラウンド
arrange,アレンジ
arrangement,アレンジメント
arrest,アレスト
arrival,アライバル
arrive,アライブ
art,アート
article,アーティクル
artist,アーティスト
artistic,アーティスティック
as,アズ
asian,エージアン
aside,アサイド
ask,アスク
asleep,アスリープ
aspect,アスペクト
assault,アサルト
assert,アサート
assess,アセス
assessment,アセスメント
asset,アセット
assign,アサイン
assignment,アサインメント
assist,アシスト
assistance,アシスタンス
assistant,アシスタント
associate,アソーシエイト
association,アソーシエーション
assume,アスーム
assumption,アサンプション
assure,アシュア
at,アット
athlete,アスリート
athletic,アスレチックス
atmosphere,アツモスピア
attach,アタッチ
attack,アタック
attempt,アテンプト
attend,アテンド
attention,アテンション
attitude,アティテュード
attorney,アトーニー
attract,アトラクト
attractive,アトラクティブ
attribute,アトリビュート
audience,オーディエンス
author,オーサー
authority,オーサロティ
auto,オート
available,アベイルアブル
average,アブレージ
avoid,アボイド
award,アワード
aware,アウェア
awareness,アウェアネス
away,アウェイ
awful,オーフル
baby,ベイビー
back,バック
background,バックグラウンド
bad,バッド
badly,バードリ
bag,バッグ
bake,ベーク
balance,バランス
ball,ボール
ban,バン
band,バンド
bank,バンク
bar,バー
barely,ベアリー
barrel,バーレル
barrier,ベリアー
base,ベース
baseball,ベースボール
basic,ベーシック
basically,べーシカリー
basis,ベーシス
basket,バスケット
basketball,バスケットボール
bathroom,バスルーム
battery,バッテリー
battle,バトル
be,ビー
beach,ビーチ
bean,ビーン
bear,ベア
beat,ビート
beautiful,ビューティフル
beauty,ビューティー
because,ビカーズ
become,ビカム
bed,ベッド
bedroom,ベッドルーム
beer,ビール
before,ビフォア
begin,ビィゲン
beginning,ビィゲニング
behavior,ビィヘイビアー
behind,ビハインド
being,ビーイング
belief,ビリーフ
believe,ビリーブ
bell,ベール
belong,ビロング
below,ビロー
belt,ベルト
bench,ベンチ
bend,ベンド
beneath,ビニース
benefit,ベネフィット
beside,ビサイド
besides,ビサイズ
best,ベスト
bet,ベット
better,ベター
between,ビツイン
beyond,ビヨンド
bible,バイブル
big,ビッグ
bike,バイク
bill,ビル
billion,ビリオン
bind,バインド
biological,バイロジカル
bird,バード
birth,バース
birthday,バースデー
bit,ビット
bite,バイト
black,ブラック
blade,ブレード
blame,ブレーム
blanket,ブランケット
blind,ブラインド
block,ブロック
blood,ブラッド
blow,ブロー
blue,ブルー
board,ボード
boat,ボート
body,ボディ
bomb,ボム
bombing,ボーミング
bond,ボンド
bone,ボーン
book,ブック
boom,ブーム
boot,ブーツ
border,ボーダー
born,ボーン
borrow,ボロー
boss,ボス
both,ボース
bother,ボザー
bottle,ボトル
bottom,ボトム
boundary,バウンダリー
bowl,ボール
box,ボックス
boy,ボーイ
boyfriend,ボーイフレンド
brain,ブレイン
branch,ブランチ
brand,ブランド
bread,ブレッド
break,ブレーク
breakfast,ブレークファスト
breast,ブレスト
breath,ブリス
breathe,ブリーズ
brick,ブリック
bridge,ブリッジ
brief,ブリーフ
briefly,ブリーフリー
bright,ブライト
brilliant,ブリアント
bring,ブリング
british,ブリティッシュ
broad,ブロード
broken,ブロークン
brother,ブラザー
brown,ブラウン
brush,ブラシ
buck,バック
budget,バジェット
build,ビルド
building,ビルディング
bullet,ブレット
bunch,バンチ
burden,バードン
burn,バーン
bury,バーリ
bus,バス
business,ビジネス
busy,ビジー
but,バット
butter,バター
button,バトン
buy,バイ
buyer,バイヤー
by,バイ
cabin,キャビン
cabinet,キャビネット
cable,ケーブル
cake,ケーキ
calculate,キャウキュレート
call,コール
camera,キャメラ
camp,キャンプ
campaign,キャンペーン
campus,キャンパス
can,キャン
canadian,キャナディアン
cancer,キャンサー
candidate,キャニディデート
cap,キャップ
capability,ケイパビリティ
capable,ケイパブル
capacity,キャパシティ
capital,キャピタル
captain,キャピタン
capture,キャプチャー
car,カー
carbon,カーボン
card,カード
care,ケア
career,キャリア
careful,ケアフル
carefully,ケアフリー
carrier,キャリア
carry,ケリー
case,ケース
cash,キャッシュ
cast,キャスト
cat,キャット
catch,キャッチ
category,カテゴリー
catholic,カソリック
cause,コーズ
ceiling,シーリング
celebrate,セレブレイト
celebration,セレブレイション
celebrity,セレブティ
cell,セル
center,センター
central,セントラル
century,セントリー
ceo,シーイーオー
ceremony,セレモニー
certain,サーティーン
certainly,サーティーンリー
chain,チェーン
chair,チェア
chairman,チェアマン
challenge,チャレンジ
chamber,チェンバー
champion,チャンピオン
championship,チャンピオンシップ
chance,チャンス
change,チェンジ
changing,チェンジング
channel,チャンネル
chapter,チャプター
character,キャラクター
characteristic,キャラクイスティック
characterize,キャラクタイズ
charge,チャージ
charity,チャラティ
chart,チャート
chase,チェイス
cheap,チープ
check,チェック
cheek,チーク
cheese,チーズ
chef,チェフ
chemical,ケミカル
chest,チェスト
chicken,チキン
chief,チーフ
child,チャイルド
childhood,チャイルドフード
chinese,チャイニーズ
chip,チップ
chocolate,チョコレート
choice,チョイス
cholesterol,コレステロール
choose,チューズ
christian,クリスティアン
christmas,クリスマス
church,チャーチ
cigarette,シガレット
circle,サークル
circumstance,スーカムスタンス
cite,サイト
citizen,シトジン
city,シティ
civil,シビル
civilian,シビリアン
claim,クレーム
class,クラス
classic,クラシック
classroom,クラスルーム
clean,クリーン
clear,クリア
clearly,クリアリ
client,クライアント
climate,クライメート
climb,クライム
clinic,クリニック
clinical,クリニカル
clock,クロック
close,クロース
closely,クロースリ
closer,クローサー
clothes,クローズ
clothing,クロージング
cloud,クラウド
club,クラブ
clue,クルー
cluster,クラスター
coach,コーチ
coal,コール
coalition,コアリッション
coast,コースト
coat,コート
code,コード
coffee,コーヒー
cognitive,コグニティブ
cold,コールド
collapse,コラプス
colleague,コーリグ
collect,コレクト
collection,コレクション
collective,コレクティブ
college,カレッジ
colonial,コロニアル
color,カラー
column,コーラム
combination,コンビネーション
combine,コンバイン
come,カム
comedy,コメディ
comfort,コンフォート
comfortable,コンファトブル
command,コマンド
commander,コマンダー
comment,コメント
commercial,コマーシャル
commission,コミッション
commit,コミット
commitment,コミットメント
committee,コミティー
common,コモン
communicate,コミュニケート
communication,コミュニケーション
community,コミュニティ
company,コンパニー
compare,コンペア
comparison,コンペリジョン
compete,コンピート
competition,コンペティション
competitive,コンペティティブ
competitor,コンペティター
complain,コンプレイン
complaint,コンプレイント
complete,コンプリート
completely,コンプリートリー
complex,コンプレックス
complicated,コンプリケーテッド
component,コンポーネント
compose,コンポーズ
composition,コンポジション
comprehensive,コンプリヘンシブ
computer,コンピュータ
concentrate,コンセントレイト
concentration,コンセントレーション
concept,コンセプト
concern,コンサーン
concerned,コンサーンド
concert,コンサート
conclude,コンクルード
conclusion,コンクルージョン
concrete,コンクリート
condition,コンディション
conduct,コンダクト
conference,コンフェレンス
confidence,コンフィデンス
confident,コンフィデント
confirm,コンファーム
conflict,コンフリクト
confront,コンフロント
confusion,コンフュージョン
congress,コングレス
congressional,コングレッション
connect,コネクト
connection,コネクション
consciousness,コンシオスネス
consensus,コンセンサス
consequence,コンシークエンス
conservative,コンサーベーテブ
consider,コンシダー
considerable,コンシダーブル
consideration,コンシダレーション
consist,コンシスト
consistent,コンシステント
constant,コンスタント
constantly,コンスタントリー
constitute,コンスティチュート
constitutional,コンスティテューショナル
construct,コンストラクト
construction,コンストラクション
consultant,コンサルタント
consume,コンシューム
consumer,コンシューマー
consumption,コンサンプション
contact,コンタクト
contain,コーティン
container,コンテナー
contemporary,コンテンポラリー
content,コンテント
contest,コンテスト
context,コンテクスト
continue,コンティニュー
continued,コンティニュード
contract,コントラクト
contrast,コントラスト
contribute,コントリビュート
contribution,コントリビューション
control,コントロール
controversial,コントロビューシャル
controversy,コントロバーシー
convention,コンベンション
conventional,コンベンショナル
conversation,コンバセーション
convert,コンバート
conviction,コンビクション
convince,コンビンス
cook,クック
cookie,クッキー
cooking,クッキング
cool,クール
cooperation,コーポレーション
cop,カップ
cope,コープ
copy,コピー
core,コア
corn,コーン
corner,コーナー
corporate,コーポーレート
corporation,コーポレーション
correct,コレクト
correspondent,コレスポンデント
cost,コスト
cotton,コットン
couch,キャウチ
could,クード
council,カウンセル
counselor,カウンセラー
count,カウント
counter,カウンター
country,カントリー
county,キャウンティー
couple,カップル
courage,カーレジ
course,コース
court,コート
cousin,カジン
cover,カバー
coverage,カブレージ
cow,カウ
crack,クラック
craft,クラフト
crash,クラッシュ
crazy,クレイジー
cream,クリーム
create,クリエート
creation,クリエーション
creative,クリエーティブ
creature,クリーチャー
credit,クレジッド
crew,クルー
crime,クライム
criminal,クリミナル
crisis,クライシス
criteria,クライテリア
critic,クリティック
critical,クリティカル
criticism,クリティシズム
criticize,クリティサイズ
crop,クロップ
cross,クロス
crowd,クラウド
crucial,クルーシャル
cry,クライ
cultural,カルチャル
culture,カルチャー
cup,カップ
curious,キュリオス
current,カーレント
currently,カーレントリー
curriculum,カリキュラム
custom,カスタム
customer,カスタマー
cut,カット
cycle,サイクル
dad,ダッド
daily,ディリー
damage,ダメージ
dance,ダンス
danger,デンジャー
dangerous,デンジャラス
dare,デア
dark,ダーク
darkness,ダークネス
data,データ
date,デート
daughter,ドーター
day,ディ
dead,デッド
deal,ディール
dealer,ディーラー
dear,ディア
death,デス
debate,ディベート
debt,デプト
decade,デケード
decide,デサイド
decision,デシジョン
deck,デック
declare,ディクレア
decline,ディクライン
decrease,ディグリース
deep,ディープ
deeply,ディープリー
deer,ディア
defeat,ディフィート
defend,ディフェンダー
defendant,ディフェンダント
defense,ディフェンス
defensive,ディフェンシブ
deficit,ディフェシット
define,ディファイン
definitely,デフィ二トリー
definition,デフィニション
degree,デグリー
delay,ディレイ
deliver,ディレバー
delivery,ディレブリー
demand,デマンド
democracy,デモクラシー
democrat,デモクラット
democratic,デモクラティック
demonstrate,デモンストレート
demonstration,デモンストレーション
deny,デナイ
department,デパートメント
depend,ディペンド
dependent,ディペンデント
depending,ディペンディング
depict,ディペクト
depression,デプレッション
depth,デプス
deputy,デピュティ
derive,デライブ
describe,デスクライブ
description,ディスクリプション
desert,デザート
deserve,デザーブ
design,デザイン
designer,デザイナー
desire,デザイア
desk,デスク
desperate,デスパレート
despite,デスパイト
destroy,デストロイ
destruction,デスツラクション
detail,ディテール
detailed,ディテールド
detect,ディテクト
determine,ディターマイン
develop,デベロップ
developing,デペロッピング
development,デベロップメント
device,デバイス
devote,デボート
dialogue,ダイアローグ
die,ダイ
diet,ダイエット
differ,ディファ
difference,ディファレンス
different,ディファレント
differently,ディファレントリー
difficult,ディフィカルト
difficulty,ディフィカルティ
dig,ディグ
digital,ディジタル
dimension,ディメンション
dining,ダイニング
dinner,ディナー
direct,ダイレクト
direction,ディレクション
directly,ディレクトリ
director,ディレクター
dirt,ダート
dirty,ダーティー
disability,ディスアビリティ
disagree,ディスアグリー
disappear,ディスアピアー
disaster,ディザスター
discipline,ディシプリン
discourse,ディスコース
discover,ディスカバ
discovery,ディスカバリー
discrimination,ディスクリミネーション
discuss,ディスカス
discussion,ディスカッション
disease,ディジース
dish,ディッシュ
dismiss,ディスミス
disorder,ディスオーダ
display,ディスプレイ
dispute,ディスピュート
distance,ディスタンス
distant,ディスタント
distinct,ディスティンク
distinction,ディスティンクション
distinguish,ディスツィングイッシュ
distribute,ディストリビュート
distribution,ディストリビューション
district,ディストリクト
diverse,ダイバーズ
diversity,ダイバーシティ
divide,ディバイド
division,ディビジョン
divorce,ディボース
dna,ディー・エヌ・エー
do,ドゥ
doctor,ドクター
document,ドキュメント
dog,ドッグ
domestic,ドメスティック
dominant,ドミナント
dominate,ドミネート
door,ドア
double,ダブル
doubt,ダウト
down,ダウン
downtown,ダウンタウン
dozen,ダズン
draft,ドラフト
drag,ドラッグ
drama,ドラマ
dramatic,ドラマティック
dramatically,ドラマティカリー
draw,ドロー
drawing,ドローイング
dream,ドリーム
dress,ドレス
drink,ドリンク
drive,ドライブ
driver,ドライバー
drop,ドロップ
drug,ドラッグ
dry,ドライ
due,ドゥー
during,ドゥーリング
dust,ダスト
duty,ドゥティ
each,イーチ
eager,イーガー
ear,イア
early,アーラリ
earn,アーン
earnings,アーニングス
earth,アース
ease,イーズ
easily,イーズリー
east,イースト
eastern,イースタン
easy,イージー
eat,イート
economic,イコノミック
economics,イコノミックス
economist,イコノミスト
economy,イコノミイ
edge,エッジ
edition,エディション
editor,エディター
educate,エドゥケート
education,エドゥケーション
educational,エドゥケーショナル
educator,エドゥケータ
effect,エフェクト
effective,エフェクティブ
effectively,エフェクティブリー
efficiency,エフィシェンシー
efficient,エフィシェント
effort,エフォート
egg,エッグ
eight,エイト
either,アイザー
elderly,エゥドリー
elect,エレクト
election,エレクション
electric,エレクトリック
electricity,エレクトリシティ
electronic,エレクトロニック
element,エレメント
elementary,エレメンタリー
eliminate,エリミネート
elite,エリート
else,エルス
elsewhere,エルスウェア
e-mail,イーメール
embrace,エムブレース
emerge,エマージ
emergency,エマージェンシー
emission,エミッション
emotion,イモーション
emotional,イモーショナル
emphasis,エンパシス
emphasize,エンパサイズ
employ,エンプロイ
employee,エンプロイ
employer,エンプロイヤー
employment,エンプロイメント
empty,エンプティ
enable,エンエーブル
encounter,エンカウンター
encourage,エンクーレジ
end,エンド
enemy,エネミー
energy,エネジー
enforcement,エンフォースメント
engage,エンゲージ
engine,エンジン
engineer,エンジェニア
engineering,エンジェニアーリング
english,イングリッシュ
enhance,エンハンス
enjoy,エンジョイ
enormous,エノーマス
enough,イナス
ensure,エンシュア
enter,エンター
enterprise,エンタープライズ
entertainment,エンターテイメント
entire,エンタイア
entirely,エンタイアリー
entrance,エントランス
entry,エントリー
environment,エンバイロメント
environmental,エンバイロメンタル
episode,エピソード
equal,イークアル
equally,イークアリー
equipment,イクイップメント
era,エラ
error,エラー
escape,エスケープ
especially,エスペシャリ
essay,エッセイ
essential,エッセンシャル
essentially,エッセンシャリー
establish,エスタブリッシュ
establishment,エスタブリッシュメント
estate,エステート
estimate,エスティメイト
etc,エクセトラ
ethics,エスィクス
ethnic,エスニック
european,ユーロピアン
evaluate,エヴァリュエート
evaluation,エヴァリュエーション
even,イーブン
evening,イーブニング
event,イベント
eventually,イベンチュアリー
ever,エヴァー
every,エブリ
everybody,エブリバディ
everyday,エブリディ
everyone,エブリワン
everything,エブリシング
everywhere,エブリウェア
evidence,エビデンス
evolution,エヴォリューション
evolve,イボールブ
exact,エグザクト
exactly,エグザクトリー
examination,エグザミネーション
examine,エグザミン
example,エグザンプル
exceed,エクシード
excellent,エクセレント
except,エクセプト
exception,エクセプション
exchange,エクスチェンジ
exciting,エクサイティング
executive,エクセキューティブ
exercise,エクササイズ
exhibit,エクスヒビット
exhibition,エクスヒビション
exist,エクジスト
existence,エクジステンス
existing,エクジスティング
expand,エクスパンド
expansion,エクスパンション
expect,エクセプト
expectation,エクスペクテーション
expense,エクスペンス
expensive,エクスペンシブ
experience,エクスピリエンス
experiment,エクスピリメント
expert,エキスパート
explain,エクスプレイン
explanation,エクスプレネーション
explode,エクスプロード
explore,エクスプローラ
explosion,エクスプロージョン
expose,エクスポーズ
exposure,エクスポージャー
express,エクスプレス
expression,エクスプレッション
extend,エクステンド
extension,エクステンション
extensive,エクステンシブ
extent,エクステント
external,エクスターナル
extra,エクストラ
extraordinary,エクストラオーディナリー
extreme,エクストリーム
extremely,エクストリームリー
eye,アイ
fabric,ファブリック
face,フェース
facility,ファシリティ
fact,ファクト
factor,ファクター
factory,ファクトリー
faculty,ファクルティ
fade,フェード
fail,フェール
failure,フェール
fair,フェア
fairly,フェアリー
faith,フェイフ
fall,フォール
false,フォルス
familiar,ファミリア
family,ファミリー
famous,フェーマス
fan,ファン
fantasy,ファンタジー
far,ファー
farm,ファーム
farmer,ファーマー
fashion,ファッション
fast,ファスト
fat,ファット
fate,フェート
father,ファザー
fault,フォルト
favor,フェーバー
favorite,フェーボライト
fear,フィアー
feature,フィーチャー
federal,フェデラル
fee,フィー
feed,フィード
feel,フィール
feeling,フィーリング
fellow,フェロー
female,フィメール
fence,フェンス
few,フュー
fewer,フュワー
fiber,ファイバー
fiction,フィクション
field,フィールド
fifteen,フィフティーン
fifth,フィッフ
fifty,フィフティ
fight,ファイト
fighter,ファイター
fighting,ファイティング
figure,フィギュア
file,ファイル
fill,フィル
film,フィルム
final,ファイナル
finally,ファイナリー
finance,ファイナンス
financial,ファイナンシャル
find,ファインド
finding,ファイディング
fine,ファイン
finger,フィンガー
finish,フィニッシュ
fire,ファイアー
firm,ファーム
first,ファースト
fish,フィッシュ
fishing,フィッシング
fit,フィット
fitness,フィットネス
five,ファイブ
fix,フィックス
flag,フラッグ
flame,フレーム
flat,フラット
flavor,フレーバー
flee,フリー
flesh,フレッシュ
flight,フライト
float,フロート
floor,フロア
flow,フロー
flower,フラワー
fly,フライ
focus,フォーカス
folk,フォルク
follow,フォロー
following,フォローイング
food,フード
foot,フット
football,フットボール
for,フォア
force,フォース
foreign,フォレイン
forest,フォーレスト
forever,フォエバー
forget,フォゲット
form,フォーム
formal,フォーマル
formation,フォーメーション
former,フォーマ
formula,フォーミュラ
forth,フォース
fortune,フォーチューン
forward,フォワード
found,ファウンド
foundation,ファウンデーション
founder,ファウンダー
four,フォア
fourth,フォース
frame,フレーム
framework,フレームワーク
free,フリー
freedom,フリーダム
freeze,フリーズ
french,フレンチ
frequency,フリークエンシー
frequent,フリークエント
frequently,フリークエントリー
fresh,フレッシュ
friend,フレンド
friendly,フレンドリー
friendship,フレンドシップ
from,フロム
front,フロント
fruit,フルーツ
frustration,フラストレーション
fuel,フュール
full,フル
fully,フーリー
fun,ファン
function,ファンクション
fund,ファンド
fundamental,ファンダメンタル
funding,ファンディング
funeral,フューヌラル
funny,ファニー
furniture,ファーニチャー
furthermore,ファーザーモア
future,フューチャー
gain,ゲイン
galaxy,ギャラクシー
gallery,ギャラリー
game,ゲーム
gang,ギャング
gap,ギャップ
garage,ガーベジ
garden,ガーデン
garlic,ガーリック
gas,ガス
gate,ゲート
gather,ギャザー
gay,ゲイ
gaze,ゲーズ
gear,ギア
gender,ジェンダー
gene,ジーン
general,ジェネラル
generally,ジェネラリー
generate,ジェネレート
generation,ジェネレーション
genetic,ジェネティック
gentleman,ジェントルマン
gently,ジェントリー
german,ジャーマン
gesture,ジェスチャー
get,ゲット
ghost,ゴースト
giant,ジャイアント
gift,ギフト
gifted,ギフテッド
girl,ガール
girlfriend,ガールフレンド
give,ギブ
given,ギブン
glad,グラッド
glance,グランス
glass,グラス
global,グローバル
glove,グローブ
go,ゴー
goal,ゴール
god,ゴッド
gold,ゴールド
golden,ゴールデン
golf,ゴルフ
good,グッド
government,ガバメント
governor,ガバナー
grab,グラブ
grade,グレード
gradually,グラヂュアリー
graduate,グラヂュエート
grain,グレイン
grand,グランド
grandfather,グランドファザー
grandmother,グランドマザー
grant,グラント
grass,グラス
grave,グレーブ
gray,グレイ
great,グレート
greatest,グレートェスト
green,グリーン
grocery,グローシュリ
ground,グラウンド
group,グループ
grow,グロー
growing,グローイング
growth,グロース
guarantee,ギャランティー
guard,ガード
guess,ゲス
guest,ゲスト
guide,ガイド
guideline,ガイドライン
guilty,ギィルティ
gun,ガン
guy,ガイ
habit,ハビット
habitat,ハビタット
hair,ヘア
half,ハーフ
hall,ホール
hand,ハンド
handful,ハンドフル
handle,ハンドル
hang,ハング
happen,ハペン
happy,ハッピー
hard,ハード
hardly,ハードリー
hat,ハット
hate,ヘート
have,ハブ
he,ヒー
head,ヘッド
headline,ヘッドライン
headquarters,ヘッドクオーター
health,ヘルス
healthy,ヘルシー
hear,ヒア
hearing,ヒアリング
heart,ハァト
heat,ヒート
heaven,ヘブン
heavily,へブリー
heavy,ヘビー
heel,ヒール
height,ハイト
helicopter,ヘリコプター
hell,ヘル
hello,ハロー
help,ヘルプ
helpful,ヘルプフル
her,ハー
here,ヒア
heritage,ヘリテージ
hero,ヒーロ
herself,ハーセルフ
hey,ヘイ
hi,ハイ
hide,ハイド
high,ハイ
highlight,ハイライト
highly,ハイリー
highway,ハイウェイ
hill,ヒル
him,ヒム
himself,ヒムセルフ
hip,ヒップ
hire,ハイヤー
his,ヒズ
historian,ヒストリアン
historic,ヒストリック
historical,ヒストリカル
history,ヒストリー
hit,ヒット
hold,ホールド
hole,ホール
holiday,ホリデー
holy,ホーリー
home,ホーム
homeless,ホームレス
honest,オーネスト
honey,ハニー
honor,オナー
hope,ホープ
horizon,ホライゾン
horror,ホラー
horse,ホース
hospital,ホスピタル
host,ホスト
hot,ホット
hotel,ホテル
hour,アワー
house,ハウス
household,ハウスホールド
housing,ハウジング
how,ハウ
however,ハウエバー
huge,ヒュージ
human,ヒューマン
humor,ヒューマ
hundred,ハンドレッド
hungry,ハングリー
hunter,ハンター
hunting,ハンティング
hurt,フート
husband,ハズバンド
hypothesis,ハイポシス
i,アイ
ice,アイス
idea,アイディア
ideal,アイディール
identification,アイデンティフィケーション
identify,アイデンティファイ
identity,アイデンティティ
ie,アイーイー
if,イフ
ignore,イグノア
ill,イル
illegal,イリーガル
illness,イルネス
illustrate,イラストレート
image,イメージ
imagination,イマジネーション
imagine,イマジーン
immediate,イミディエイト
immediately,イミディエイトリー
immigrant,イミグラント
immigration,イミグレーション
impact,インパクト
implement,インプレメント
implication,インプリケーション
imply,インプライ
importance,インポータンス
important,インポータント
impose,インポーズ
impossible,インポシビル
impress,インプレス
impression,インプレッション
impressive,インプレッシブ
improve,インプルーブ
improvement,インプルーブメント
in,イン
incentive,インセンティブ
incident,インシデント
include,インクルード
including,インクルーティング
income,インカム
incorporate,インコーポレート
increase,インクリース
increased,インクリースド
increasing,インクリースイング
increasingly,インクリースイングリー
incredible,インクレディブル
indeed,インディード
independence,インディペンデンス
independent,インディペンデント
index,インデックス
indian,インディアン
indicate,インディケート
indication,インディケーション
individual,インディビジュアル
industrial,インダストリアル
industry,インダストリー
infant,インファント
infection,インフェクション
inflation,インフレーション
influence,インフルエンス
inform,インフォーム
information,インフォメーション
ingredient,イングリディエント
initial,イニシャル
initially,イニシャリー
initiative,イニシエイティブ
injury,インジュリー
inner,インナー
innocent,イノセント
inquiry,インクワイアリ
inside,インサイド
insight,インサイト
insist,インシスト
inspire,インスパイア
install,インストール
instance,インスタンス
instead,インステード
institution,インスティチューション
institutional,インスティチューショナル
instruction,インストラクション
instructor,インストラクター
instrument,インスツルメント
insurance,インシュランス
intellectual,インテレクチュアル
intelligence,インテレジェンス
intend,インテンド
intense,インテンス
intensity,インテンシティ
intention,インテンション
interaction,イントラクション
interest,インテレスト
interested,インテレステッド
interesting,インテレスティング
internal,インターナル
international,インターナショナル
internet,インターネット
interpret,インターパート
interpretation,インターパーテーション
intervention,インターベンション
interview,インタビュー
into,インツウ
introduce,イントロデュース
introduction,イントロダクション
invasion,インベージョン
invest,インベスト
investigate,インベスティゲート
investigation,インベスティゲーション
investigator,インベスティゲーター
investment,インベスト
investor,インベスター
invite,インバイト
involve,インボーブ
involved,インボーブド
involvement,インボーブメント
iraqi,イラキ
irish,アイリッシュ
iron,アイロン
is,イズ
islamic,イスラミック
island,アイランド
israeli,イズラエルイ
issue,イッシュー
it,イット
italian,イタリアン
item,アイテム
its,イッツス
itself,イツセルフ
jacket,ジャケット
jail,ジェール
japanese,ジャパニーズ
jet,ジェット
jew,ジュー
jewish,ジューイッシュ
job,ジョブ
join,ジョイン
joint,ジョイント
joke,ジョーク
journal,ジャーナル
journalist,ジャーナリスト
journey,ジャニー
joy,ジョイ
judge,ジャッジ
judgment,ジャッジメント
juice,ジュース
jump,ジャンプ
junior,ジュニア
jury,ジューリ
just,ジャスト
justice,ジャスティス
justify,ジャスティファイ
keep,キープ
key,キー
kick,キック
kid,キッド
kill,キル
killer,キラー
killing,キリング
kind,カインド
king,キング
kiss,キス
kitchen,キッチン
knee,ニー
knife,ナイフ
knock,ノック
know,ノー
knowledge,ノーレージ
lab,ラブ
label,ラベル
labor,レーバー
laboratory,ラベトリー
lack,ラック
lady,レディ
lake,レーク
land,ランド
landscape,ランドスケープ
language,レングエッジ
lap,ラップ
large,ラージ
largely,ラージリー
last,ラスト
late,レート
later,レーター
latin,ラテン
latter,ラター
laugh,ラース
launch,ロンチ
law,ロー
lawn,ローン
lawsuit,ロースーツ
lawyer,ローイヤー
lay,レイ
layer,レイヤー
lead,レッド
leader,リーダー
leadership,リーダーシップ
leading,リーディング
leaf,リーフ
league,リーグ
lean,リーン
learn,ラーン
learning,ラーニング
least,リースト
leather,レザー
leave,リーブ
left,レフト
leg,レッグ
legacy,レガシー
legal,リーガル
legend,レジェンド
legislation,レジスレーション
legitimate,レジティメート
lemon,レモン
length,レンス
less,レス
lesson,レッセン
let,レット
letter,レター
level,レベル
liberal,リベラル
library,ライブラリー
license,ライセンス
lie,ライ
life,ライフ
lifestyle,ライフスタイル
lifetime,ライフタイム
lift,リフト
light,ライト
like,ライク
likely,ライクリー
